"","Language","Subscription.Type","Subscription.Event.Type","Purchase.Store","Purchase.Amount","Currency","Demo.User","Free.Trial.User","Auto.Renew","Country","User.Type","Lead.Platform","Email.Subscriber","Push.Notifications","Send.Count","Open.Count","Click.Count","Unique.Open.Count","Unique.Click.Count","Dollar_val","sub_len_mnth","cluster"
"31418","ESP","Lifetime","INITIAL_PURCHASE","App",NA,"NULL","No","No","Off","Europe","Consumer","Web","No","Yes",12,11,2,4,1,0,1032.92857142857,1
"29088","GRK","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","Other","Consumer","App","Yes","Yes",NA,NA,NA,NA,NA,0,3.25,2
"11076","ESP","Lifetime","INITIAL_PURCHASE","Web",189,"USD","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",9,0,0,0,0,189,1030.17857142857,5
"31320","ENG","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","Other","Consumer","App","Yes","Yes",NA,NA,NA,NA,NA,0,1.07142857142857,2
"39029","FRA","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","No","On","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,3.28571428571429,3
"29467","SVE","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",16,1,0,1,0,0,3.25,2
"10617","ENG","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,0,13.0714285714286,5
"13914","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,0,13.0357142857143,5
"9767","ESP","Limited","INITIAL_PURCHASE","Web",35.97,"USD","No","No","Off","Other","Other","Unknown","No","No",22,17,0,2,0,35.97,3.28571428571429,4
"3229","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","Yes","No","Off","US/Canada","Consumer","App","No","Yes",176,68,45,14,1,199,1028.53571428571,5
"14150","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",93,0,0,0,0,0,13.0357142857143,5
"26038","TGL","Limited","RENEWAL","App",54990000,"USD","No","Yes","On","US/Canada","Consumer","App","Yes","Yes",3,2,0,1,0,54.99,16.3571428571429,3
"20280","ENG","Limited","INITIAL_PURCHASE","Web",89,"EUR","No","Yes","On","Europe","Consumer","Web","No","Yes",289,289,2,4,1,105.91,6.60714285714286,1
"1564","CHI","Limited","INITIAL_PURCHASE","Web",39,"USD","No","Yes","Off","US/Canada","Consumer","Web","Yes","Yes",31,0,0,0,0,39,3.39285714285714,5
"30465","ALL","Lifetime","INITIAL_PURCHASE","App",NA,"NULL","No","Yes","Off","Other","Consumer","App","Yes","Yes",8,1,0,1,0,0,1028.35714285714,3
"12840","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","No","No","Off","Other","Other","Unknown","No","No",4,1,0,1,0,199,1028.64285714286,4
"17897","ALL","Lifetime","INITIAL_PURCHASE","Web",208.95,"USD","No","No","Off","Other","Other","Unknown","No","No",6,1,0,1,0,208.95,1027.60714285714,4
"14391","POR","Limited","RENEWAL","Web",79,"USD","No","No","On","Other","Other","Unknown","No","No",4,3,0,2,0,79,6.53571428571429,4
"14615","NED","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,6.53571428571429,4
"36398","ARA","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","Europe","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,13.0357142857143,2
"8964","ALL","Lifetime","INITIAL_PURCHASE","Web",189,"USD","No","No","Off","Other","Other","Unknown","No","No",6,0,0,0,0,189,1028.39285714286,4
"22857","CHI","Limited","INITIAL_PURCHASE","Web",20.87,"EUR","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,24.8353,1.75,4
"21567","ITA","Limited","INITIAL_PURCHASE","Web",13.94,"EUR","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,16.5886,26.1071428571429,4
"30867","ITA","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",41,0,0,0,0,0,3.14285714285714,2
