Language,Subscription.Type,Subscription.Event.Type,Purchase.Store,Purchase.Amount,Currency,Demo.User,Free.Trial.User,Auto.Renew,Country,User.Type,Lead.Platform,Email.Subscriber,Push.Notifications,Send.Count,Open.Count,Click.Count,Unique.Open.Count,Unique.Click.Count,Dollar_val,sub_len_mnth,cluster
DEU,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,194,15,0,14,0,0,3.214285714,2
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,5,2,0,1,0,0,6.714285714,4
ESP,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,65.94,6.571428571,4
ESP,Limited,RENEWAL,Web,119,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,2,1,0,1,0,119,13.07142857,2
CHI,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Other,Web,Yes,Yes,,,,,,0,13.03571429,4
ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,Yes,On,US/Canada,Consumer,Web,No,Yes,,,,,,65.94,6.607142857,4
HEB,Limited,RENEWAL,Web,19.99,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,4,0,0,0,0,19.99,7.607142857,4
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,28,6,5,2,1,35.97,6.5,4
TGL,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,4,4,0,2,0,0,26.10714286,2
ESP,Limited,RENEWAL,Web,79,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,14,13,0,3,0,79,16.25,4
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,30,28,0,9,0,35.97,3.357142857,4
ALL,Limited,INITIAL_PURCHASE,Web,143.76,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,45,0,0,0,0,143.76,26.07142857,4
CHI,Lifetime,INITIAL_PURCHASE,Web,52.55,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,1,1,0,1,0,52.55,1043.857143,4
FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,Yes,No,On,US/Canada,Consumer,Web,No,Yes,17,11,3,5,2,35.97,6.5,4
ESP,Limited,INITIAL_PURCHASE,Web,42.46,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,7,1,0,1,0,42.46,6.607142857,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,3,0,0,0,0,0,26.10714286,2
ESP,Limited,RENEWAL,Web,35.97,USD,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,6,5,0,2,0,35.97,9.892857143,4
ESP,Limited,RENEWAL,Web,35.97,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,4,4,0,3,0,35.97,6.464285714,2
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,15,9,9,2,2,199,1041.964286,4
POR,Limited,RENEWAL,Web,35.97,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,10,9,6,3,1,35.97,9.785714286,2
ENG,Limited,RENEWAL,Web,35.97,USD,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,4,1,0,1,0,35.97,6.535714286,4
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,Yes,On,US/Canada,Consumer,Web,No,Yes,2,2,0,1,0,35.97,3.5,4
ENG,Limited,RENEWAL,Web,35.97,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,8,0,0,0,0,35.97,6.5,2
ESC,Limited,RENEWAL,Web,35.97,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,6,6,0,3,0,35.97,9.785714286,2
POR,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,127,24,6,12,1,35.97,3.285714286,4
EBR,Limited,INITIAL_PURCHASE,Web,78,USD,No,No,Off,Other,Consumer,Web,No,Yes,9,9,0,2,0,78,17.35714286,1
ALL,Lifetime,INITIAL_PURCHASE,Web,188.28,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,25,7,6,3,2,188.28,1027.714286,4
ALL,Lifetime,INITIAL_PURCHASE,Web,49,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,7,3,0,1,0,49,1035.071429,4
DEU,Limited,RENEWAL,Web,119,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,29,0,0,0,0,119,13.03571429,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,83,0,0,0,0,0,6.571428571,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,51,4,2,3,1,0,13.53571429,4
ESP,Limited,INITIAL_PURCHASE,Web,42.27,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0,42.27,6.678571429,4
KOR,Limited,INITIAL_PURCHASE,Web,39,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,14,2,0,2,0,39,3.5,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,73,54,6,14,2,199,1027.714286,4
ITA,Limited,INITIAL_PURCHASE,Web,65.94,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,6,5,0,2,0,65.94,13.07142857,2
CHI,Limited,INITIAL_PURCHASE,Web,72.6,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0,72.6,13.07142857,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,US/Canada,Other,Web,No,Yes,,,,,,0,26.10714286,4
FRA,Limited,INITIAL_PURCHASE,Web,39,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,122,0,0,0,0,39,3.392857143,4
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,0,6.464285714,4
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,8,0,0,0,0,35.97,3.214285714,4
ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,7,0,0,0,0,95.88,13.03571429,4
ALL,Limited,INITIAL_PURCHASE,Web,104.39,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,24,15,15,1,1,104.39,13.03571429,4
RUS,Lifetime,INITIAL_PURCHASE,Web,179,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,9,8,0,2,0,179,1031.571429,2
ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,51,1,1,1,1,95.88,13.03571429,4
TGL,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0,0,39.14285714,4
ENG,Limited,INITIAL_PURCHASE,Web,39,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,21,8,0,2,0,39,10.89285714,4
